year,age,survivors
1900,0,100000
1900,1,88031
1900,2,85336
1900,3,84066
1900,4,83216
1900,5,82532
1900,6,82049
1900,7,81698
1900,8,81447
1900,9,81259
1900,10,81108
1900,11,80943
1900,12,80783
1900,13,80626
1900,14,80443
1900,15,80255
1900,16,80050
1900,17,79807
1900,18,79516
1900,19,78892
1900,20,78484
1900,21,78064
1900,22,77707
1900,23,77344
1900,24,76973
1900,25,76611
1900,26,76246
1900,27,75875
1900,28,75527
1900,29,75171
1900,30,74814
1900,31,74481
1900,32,74148
1900,33,73827
1900,34,73513
1900,35,73192
1900,36,72857
1900,37,72497
1900,38,72148
1900,39,71822
1900,40,71500
1900,41,71172
1900,42,70838
1900,43,70501
1900,44,70146
1900,45,69791
1900,46,69425
1900,47,69051
1900,48,68653
1900,49,68247
1900,50,67819
1900,51,67374
1900,52,66884
1900,53,66372
1900,54,65838
1900,55,65307
1900,56,64760
1900,57,64168
1900,58,63533
1900,59,62873
1900,60,62177
1900,61,61408
1900,62,60590
1900,63,59697
1900,64,58738
1900,65,57755
1900,66,56719
1900,67,55614
1900,68,54457
1900,69,53278
1900,70,52055
1900,71,50747
1900,72,49358
1900,73,47864
1900,74,46318
1900,75,44735
1900,76,43112
1900,77,41415
1900,78,39668
1900,79,37833
1900,80,35958
1900,81,33938
1900,82,31898
1900,83,29839
1900,84,27664
1900,85,25457
1900,86,23194
1900,87,20953
1900,88,18724
1900,89,16483
1900,90,14392
1900,91,12417
1900,92,10572
1900,93,8880
1900,94,7244
1900,95,5793
1900,96,4518
1900,97,3441
1900,98,2546
1900,99,1836
1900,100,1273
1900,101,854
1900,102,560
1900,103,352
1900,104,214
1900,105,128
1900,106,73
1900,107,40
1900,108,21
1900,109,10
1900,110,5
1900,111,2
1900,112,1
1900,113,0
1900,114,0
1900,115,0
1900,116,0
1900,117,0
1900,118,0
1900,119,0
1901,0,100000
1901,1,89574
1901,2,86872
1901,3,85663
1901,4,84780
1901,5,84131
1901,6,83627
1901,7,83280
1901,8,83037
1901,9,82861
1901,10,82694
1901,11,82542
1901,12,82396
1901,13,82223
1901,14,82048
1901,15,81861
1901,16,81643
1901,17,81378
1901,18,80820
1901,19,80440
1901,20,80052
1901,21,79713
1901,22,79358
1901,23,78984
1901,24,78610
1901,25,78237
1901,26,77862
1901,27,77508
1901,28,77144
1901,29,76781
1901,30,76446
1901,31,76115
1901,32,75796
1901,33,75486
1901,34,75171
1901,35,74847
1901,36,74499
1901,37,74156
1901,38,73837
1901,39,73520
1901,40,73203
1901,41,72884
1901,42,72558
1901,43,72215
1901,44,71867
1901,45,71514
1901,46,71157
1901,47,70779
1901,48,70393
1901,49,69979
1901,50,69555
1901,51,69095
1901,52,68607
1901,53,68092
1901,54,67571
1901,55,67045
1901,56,66484
1901,57,65876
1901,58,65247
1901,59,64582
1901,60,63863
1901,61,63099
1901,62,62250
1901,63,61321
1901,64,60360
1901,65,59360
1901,66,58304
1901,67,57192
1901,68,56059
1901,69,54891
1901,70,53644
1901,71,52315
1901,72,50880
1901,73,49394
1901,74,47864
1901,75,46290
1901,76,44644
1901,77,42941
1901,78,41144
1901,79,39300
1901,80,37304
1901,81,35277
1901,82,33217
1901,83,31028
1901,84,28795
1901,85,26483
1901,86,24165
1901,87,21836
1901,88,19470
1901,89,17233
1901,90,15088
1901,91,13048
1901,92,11142
1901,93,9267
1901,94,7568
1901,95,6034
1901,96,4701
1901,97,3563
1901,98,2632
1901,99,1870
1901,100,1289
1901,101,870
1901,102,565
1901,103,356
1901,104,222
1901,105,131
1901,106,75
1901,107,41
1901,108,21
1901,109,11
1901,110,5
1901,111,2
1901,112,1
1901,113,0
1901,114,0
1901,115,0
1901,116,0
1901,117,0
1901,118,0
1901,119,0
1902,0,100000
1902,1,89738
1902,2,87208
1902,3,85971
1902,4,85146
1902,5,84448
1902,6,83970
1902,7,83639
1902,8,83411
1902,9,83221
1902,10,83066
1902,11,82929
1902,12,82769
1902,13,82607
1902,14,82437
1902,15,82243
1902,16,82007
1902,17,81515
1902,18,81171
1902,19,80819
1902,20,80506
1902,21,80173
1902,22,79813
1902,23,79441
1902,24,79066
1902,25,78692
1902,26,78339
1902,27,77974
1902,28,77611
1902,29,77278
1902,30,76955
1902,31,76642
1902,32,76338
1902,33,76031
1902,34,75721
1902,35,75391
1902,36,75063
1902,37,74757
1902,38,74450
1902,39,74148
1902,40,73848
1902,41,73540
1902,42,73213
1902,43,72878
1902,44,72544
1902,45,72208
1902,46,71854
1902,47,71491
1902,48,71099
1902,49,70700
1902,50,70277
1902,51,69825
1902,52,69343
1902,53,68844
1902,54,68345
1902,55,67821
1902,56,67248
1902,57,66655
1902,58,66030
1902,59,65365
1902,60,64668
1902,61,63885
1902,62,63013
1902,63,62096
1902,64,61141
1902,65,60145
1902,66,59100
1902,67,58022
1902,68,56919
1902,69,55746
1902,70,54493
1902,71,53139
1902,72,51734
1902,73,50281
1902,74,48780
1902,75,47207
1902,76,45577
1902,77,43850
1902,78,42072
1902,79,40138
1902,80,38165
1902,81,36143
1902,82,33991
1902,83,31782
1902,84,29479
1902,85,27142
1902,86,24775
1902,87,22349
1902,88,20026
1902,89,17767
1902,90,15586
1902,91,13514
1902,92,11441
1902,93,9526
1902,94,7758
1902,95,6180
1902,96,4796
1902,97,3628
1902,98,2644
1902,99,1869
1902,100,1296
1902,101,868
1902,102,564
1902,103,364
1902,104,223
1902,105,133
1902,106,77
1902,107,42
1902,108,23
1902,109,12
1902,110,6
1902,111,3
1902,112,1
1902,113,0
1902,114,0
1902,115,0
1902,116,0
1902,117,0
1902,118,0
1902,119,0
1903,0,100000
1903,1,90196
1903,2,87603
1903,3,86445
1903,4,85558
1903,5,84908
1903,6,84452
1903,7,84136
1903,8,83891
1903,9,83715
1903,10,83574
1903,11,83422
1903,12,83269
1903,13,83114
1903,14,82937
1903,15,82726
1903,16,82290
1903,17,81984
1903,18,81668
1903,19,81378
1903,20,81068
1903,21,80728
1903,22,80370
1903,23,80000
1903,24,79628
1903,25,79275
1903,26,78909
1903,27,78545
1903,28,78214
1903,29,77898
1903,30,77591
1903,31,77290
1903,32,76988
1903,33,76687
1903,34,76373
1903,35,76059
1903,36,75766
1903,37,75471
1903,38,75182
1903,39,74899
1903,40,74607
1903,41,74296
1903,42,73977
1903,43,73658
1903,44,73342
1903,45,73010
1903,46,72667
1903,47,72299
1903,48,71924
1903,49,71534
1903,50,71117
1903,51,70671
1903,52,70202
1903,53,69729
1903,54,69238
1903,55,68696
1903,56,68135
1903,57,67545
1903,58,66928
1903,59,66289
1903,60,65572
1903,61,64766
1903,62,63904
1903,63,62997
1903,64,62052
1903,65,61069
1903,66,60039
1903,67,58991
1903,68,57882
1903,69,56696
1903,70,55417
1903,71,54089
1903,72,52711
1903,73,51281
1903,74,49778
1903,75,48218
1903,76,46562
1903,77,44850
1903,78,42983
1903,79,41070
1903,80,39094
1903,81,36987
1903,82,34812
1903,83,32534
1903,84,30198
1903,85,27820
1903,86,25359
1903,87,22975
1903,88,20630
1903,89,18335
1903,90,16120
1903,91,13871
1903,92,11757
1903,93,9765
1903,94,7947
1903,95,6310
1903,96,4887
1903,97,3652
1903,98,2650
1903,99,1883
1903,100,1296
1903,101,868
1903,102,577
1903,103,366
1903,104,227
1903,105,137
1903,106,78
1903,107,45
1903,108,24
1903,109,12
1903,110,6
1903,111,3
1903,112,1
1903,113,0
1903,114,0
1903,115,0
1903,116,0
1903,117,0
1903,118,0
1903,119,0
1904,0,100000
1904,1,89728
1904,2,87328
1904,3,86093
1904,4,85273
1904,5,84659
1904,6,84223
1904,7,83889
1904,8,83668
1904,9,83507
1904,10,83352
1904,11,83204
1904,12,83062
1904,13,82904
1904,14,82714
1904,15,82327
1904,16,82060
1904,17,81781
1904,18,81519
1904,19,81233
1904,20,80917
1904,21,80586
1904,22,80232
1904,23,79871
1904,24,79523
1904,25,79158
1904,26,78798
1904,27,78471
1904,28,78162
1904,29,77863
1904,30,77567
1904,31,77270
1904,32,76976
1904,33,76676
1904,34,76377
1904,35,76100
1904,36,75820
1904,37,75545
1904,38,75279
1904,39,75003
1904,40,74710
1904,41,74410
1904,42,74109
1904,43,73812
1904,44,73503
1904,45,73182
1904,46,72842
1904,47,72492
1904,48,72135
1904,49,71754
1904,50,71347
1904,51,70918
1904,52,70478
1904,53,70022
1904,54,69513
1904,55,68984
1904,56,68433
1904,57,67858
1904,58,67273
1904,59,66621
1904,60,65888
1904,61,65100
1904,62,64255
1904,63,63371
1904,64,62450
1904,65,61468
1904,66,60476
1904,67,59431
1904,68,58317
1904,69,57117
1904,70,55874
1904,71,54582
1904,72,53237
1904,73,51816
1904,74,50337
1904,75,48765
1904,76,47138
1904,77,45358
1904,78,43528
1904,79,41625
1904,80,39594
1904,81,37479
1904,82,35261
1904,83,32969
1904,84,30625
1904,85,28180
1904,86,25782
1904,87,23402
1904,88,21046
1904,89,18740
1904,90,16367
1904,91,14101
1904,92,11924
1904,93,9897
1904,94,8034
1904,95,6367
1904,96,4879
1904,97,3632
1904,98,2647
1904,99,1869
1904,100,1287
1904,101,880
1904,102,577
1904,103,370
1904,104,231
1904,105,137
1904,106,82
1904,107,46
1904,108,25
1904,109,13
1904,110,6
1904,111,3
1904,112,1
1904,113,0
1904,114,0
1904,115,0
1904,116,0
1904,117,0
1904,118,0
1904,119,0
1905,0,100000
1905,1,89642
1905,2,87075
1905,3,85933
1905,4,85157
1905,5,84563
1905,6,84104
1905,7,83810
1905,8,83607
1905,9,83430
1905,10,83275
1905,11,83142
1905,12,83001
1905,13,82829
1905,14,82482
1905,15,82251
1905,16,82006
1905,17,81771
1905,18,81512
1905,19,81219
1905,20,80914
1905,21,80584
1905,22,80241
1905,23,79901
1905,24,79539
1905,25,79181
1905,26,78857
1905,27,78551
1905,28,78259
1905,29,77968
1905,30,77675
1905,31,77384
1905,32,77090
1905,33,76802
1905,34,76539
1905,35,76274
1905,36,76010
1905,37,75756
1905,38,75496
1905,39,75218
1905,40,74936
1905,41,74650
1905,42,74370
1905,43,74081
1905,44,73781
1905,45,73467
1905,46,73141
1905,47,72809
1905,48,72458
1905,49,72087
1905,50,71698
1905,51,71292
1905,52,70868
1905,53,70390
1905,54,69890
1905,55,69373
1905,56,68830
1905,57,68284
1905,58,67686
1905,59,67018
1905,60,66303
1905,61,65525
1905,62,64700
1905,63,63838
1905,64,62897
1905,65,61952
1905,66,60961
1905,67,59910
1905,68,58784
1905,69,57615
1905,70,56402
1905,71,55141
1905,72,53802
1905,73,52401
1905,74,50907
1905,75,49359
1905,76,47667
1905,77,45921
1905,78,44096
1905,79,42144
1905,80,40094
1905,81,37945
1905,82,35711
1905,83,33418
1905,84,31010
1905,85,28620
1905,86,26231
1905,87,23842
1905,88,21475
1905,89,19013
1905,90,16625
1905,91,14293
1905,92,12081
1905,93,10009
1905,94,8110
1905,95,6366
1905,96,4863
1905,97,3634
1905,98,2633
1905,99,1860
1905,100,1305
1905,101,881
1905,102,583
1905,103,376
1905,104,232
1905,105,144
1905,106,85
1905,107,48
1905,108,26
1905,109,13
1905,110,6
1905,111,3
1905,112,1
1905,113,0
1905,114,0
1905,115,0
1905,116,0
1905,117,0
1905,118,0
1905,119,0
1906,0,100000
1906,1,89342
1906,2,86971
1906,3,85890
1906,4,85141
1906,5,84517
1906,6,84121
1906,7,83851
1906,8,83628
1906,9,83452
1906,10,83316
1906,11,83187
1906,12,83031
1906,13,82719
1906,14,82517
1906,15,82302
1906,16,82092
1906,17,81861
1906,18,81594
1906,19,81314
1906,20,81010
1906,21,80688
1906,22,80365
1906,23,80010
1906,24,79657
1906,25,79336
1906,26,79030
1906,27,78742
